title,artist,album,isrc,upc,spotify_url,local_path,filename
Black Birds,Excavationpro,Done,QZ-S64-24-21325,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\6\Done\Black Birds  QZS642421325.wav,Black Birds  QZS642421325.wav
Nomophobia,Excavationpro,Done,QZ-S64-24-25818,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\10\New folder\Done\Nomophobia QZS642425818.wav,Nomophobia QZS642425818.wav
Man Power,Excavationpro,Done,QZ-S64-24-25967,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\10\New folder\Done\Man Power QZS642425967.wav,Man Power QZS642425967.wav
High Key,Excavationpro,Done,QZ-S64-24-27649,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\10\New folder\Done\High Key QZS642427649.wav,High Key QZS642427649.wav
Reflection,Excavationpro,Done,QZ-S64-24-30171,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\10\New folder\Done\Reflection QZS642430171.wav,Reflection QZS642430171.wav
Secret Benefits,Excavationpro,Done,QZ-S64-24-37426,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\8\New folder\Done\Secret Benefits QZS642437426.wav,Secret Benefits QZS642437426.wav
Bad Men Open Verse Instrumental Beat,Excavationpro,Done,QZ-S64-24-37830,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\16\Instru\Done\Bad Men Open Verse Instrumental Beat QZS642437830.wav,Bad Men Open Verse Instrumental Beat QZS642437830.wav
God,Excavationpro,Done,QZ-S64-24-47455,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\12\New folder\Done\God QZS642447455.wav,God QZS642447455.wav
Wrecked,Excavationpro,Done,QZ-S64-24-57691,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\7\Done\Wrecked QZS642457691.wav,Wrecked QZS642457691.wav
Visions ft Justin Helmer,Excavationpro,8,QZ-S64-24-63551,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\8\Visions ft Justin Helmer QZS642463551.wav,Visions ft Justin Helmer QZS642463551.wav
Running Up,Excavationpro,Done,QZ-S64-24-65882,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\15\Done\Running Up  QZS642465882.wav,Running Up  QZS642465882.wav
All For You Instrumental,Excavationpro,New folder,QZ-S64-24-70235,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\14\New folder\New folder\All For You Instrumental QZS642470235.wav,All For You Instrumental QZS642470235.wav
Joana,Excavationpro,Done,QZ-S64-24-73204,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\8\New folder\Done\Joana QZS642473204.wav,Joana QZS642473204.wav
Sweet Dreams,Excavationpro,Done,QZ-S64-24-83599,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\9\New folder\Done\Sweet Dreams QZS642483599.wav,Sweet Dreams QZS642483599.wav
Beaming feat Justin Helmer,Excavationpro,6,QZ-S64-24-96653,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\6\Beaming feat Justin Helmer QZS642496653.wav,Beaming feat Justin Helmer QZS642496653.wav
Situationship,Excavationpro,Done,QZ-S64-24-98411,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\10\New folder\Done\Situationship QZS642498411.wav,Situationship QZS642498411.wav
hd Rewind the World feat Justin Helmer,Excavationpro,Done,QZ-S64-25-16404,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\2\Done\hd_Rewind the World feat Justin Helmer QZS642516404.wav,hd_Rewind the World feat Justin Helmer QZS642516404.wav
Hype Squad,Excavationpro,Done,QZ-S64-25-19365,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\5\Done\Hype Squad QZS642519365.wav,Hype Squad QZS642519365.wav
Crashing Out HD,Excavationpro,Done,QZ-S64-25-31708,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\4\Done\Crashing Out HD QZS642531708.wav,Crashing Out HD QZS642531708.wav
Coffee Cold,Excavationpro,Done,QZ-S64-25-68586,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\3\Done\Coffee Cold  QZS642568586.wav,Coffee Cold  QZS642568586.wav
So What,Excavationpro,Done,QZ-S64-25-79932,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\3\Done\So What QZS642579932.wav,So What QZS642579932.wav
Save Me From Them,Excavationpro,5,QZ-S64-25-80153,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\5\Save Me From Them QZS642580153.wav,Save Me From Them QZS642580153.wav
Bricks,Excavationpro,Done,QZ-S64-25-94075,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\5\Done\Bricks  QZS642594075.wav,Bricks  QZS642594075.wav
Cloud Walker,Excavationpro,PG 40 Done,QZ-S65-21-01523,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\PG 40 Done\Cloud Walker QZS652101523.wav,Cloud Walker QZS652101523.wav
High Speed Crash,Excavationpro,PG 40 Done,QZ-S65-21-09500,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\PG 40 Done\High Speed Crash QZS652109500.mp3,High Speed Crash QZS652109500.mp3
Goodbye BabylyricsDONE (Mastered with Aurora at 90pct),Excavationpro,Done,QZ-S65-21-20948,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\PG 38\Done\Goodbye BabylyricsDONE (Mastered with Aurora at 90pct) QZS652120948.wav,Goodbye BabylyricsDONE (Mastered with Aurora at 90pct) QZS652120948.wav
Magic Carpet,Excavationpro,Done,QZ-S65-21-23634,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\PG 39\Done\Magic Carpet QZS652123634.wav,Magic Carpet QZS652123634.wav
Freshly Funky,Excavationpro,PG 40 Done,QZ-S65-21-34086,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\PG 40 Done\Freshly Funky QZS652134086.wav,Freshly Funky QZS652134086.wav
Sugarbaby,Excavationpro,Done,QZ-S65-21-61986,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\PG 39\Done\Sugarbaby QZS652161986.wav,Sugarbaby QZS652161986.wav
No Funking Around,Excavationpro,PG 40 Done,QZ-S65-21-69928,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\PG 40 Done\No Funking Around QZS652169928.wav,No Funking Around QZS652169928.wav
No Just Dance,Excavationpro,Done,QZ-S65-21-82238,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\PG 39\Done\No Just Dance QZS652182238.wav,No Just Dance QZS652182238.wav
Fatal Mistake (Mastered with Sunroof at 90pct),Excavationpro,Done,QZ-S65-21-83910,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\PG 38\Done\Fatal Mistake (Mastered with Sunroof at 90pct) QZS652183910.wav,Fatal Mistake (Mastered with Sunroof at 90pct) QZS652183910.wav
Upside Down,Excavationpro,PG 40 Done,QZ-S65-21-87598,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\PG 40 Done\Upside Down QZS652187598.wav,Upside Down QZS652187598.wav
Gold For Love,Excavationpro,Done,QZ-S65-22-21443,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\33\Instrumentals\Done\Gold For Love QZS652221443.wav,Gold For Love QZS652221443.wav
East to West,Excavationpro,Done,QZ-S65-22-26187,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\30\Instrumentals\Done\East to West QZS652226187.wav,East to West QZS652226187.wav
Got Got Got Eww Instrumental Beat,Excavationpro,Done 2,QZ-S65-22-27682,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\16\Instru\Done 2\Got Got Got Eww Instrumental Beat QZS652227682.wav,Got Got Got Eww Instrumental Beat QZS652227682.wav
Ponder,Excavationpro,Done,QZ-S65-22-35594,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\PG 37\Vocals\Done\Ponder QZS652235594.wav,Ponder QZS652235594.wav
The Bomb Shh Hit,Excavationpro,Done,QZ-S65-22-39138,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\34\Vocals\Done\The Bomb Shh Hit QZS652239138.wav,The Bomb Shh Hit QZS652239138.wav
Mind Games feat Justin Helmer,Excavationpro,Done,QZ-S65-22-45805,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\16\Done\Mind Games feat Justin Helmer QZS652245805.wav,Mind Games feat Justin Helmer QZS652245805.wav
Life Sentence that makes you think,Excavationpro,Done,QZ-S65-22-48880,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\34\Vocals\Done\Life Sentence that makes you think QZS652248880.wav,Life Sentence that makes you think QZS652248880.wav
LYRICAL ASSASSIN (Feat. NORAD) (Mastered with Thunder at 100pct),Excavationpro,Done,QZ-S65-22-56289,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\34\Vocals\Done\LYRICAL ASSASSIN (Feat. NORAD) (Mastered with Thunder at 100pct) QZS652256289.wav,LYRICAL ASSASSIN (Feat. NORAD) (Mastered with Thunder at 100pct) QZS652256289.wav
You Never know,Excavationpro,Done,QZ-S65-22-58894,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\PG 37\Vocals\Done\You Never know QZS652258894.wav,You Never know QZS652258894.wav
Blind Date Beat,Excavationpro,Done,QZ-S65-22-61922,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\33\Instrumentals\Done\Blind Date Beat QZS652261922.wav,Blind Date Beat QZS652261922.wav
Never Gonna Love Song by Excavationpro,Excavationpro,Done,QZ-S65-22-63181,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\30\Vocals\Done\Never Gonna Love Song by Excavationpro QZS652263181.wav,Never Gonna Love Song by Excavationpro QZS652263181.wav
XPRO Synth Beat,Excavationpro,Vocals,QZ-S65-22-81636,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\PG 37\Vocals\XPRO Synth Beat QZS652281636.wav,XPRO Synth Beat QZS652281636.wav
You Never Told Me (Mastered with Sunroof at 100pct),Excavationpro,Done,QZ-S65-22-82913,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\30\Vocals\Done\You Never Told Me (Mastered with Sunroof at 100pct) QZS652282913.wav,You Never Told Me (Mastered with Sunroof at 100pct) QZS652282913.wav
Release The Pressure CLEM Feat Excavationpro,Excavationpro,Done,QZ-S65-22-84647,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\34\Vocals\Done\Release The Pressure CLEM Feat Excavationpro QZS652284647.wav,Release The Pressure CLEM Feat Excavationpro QZS652284647.wav
rap 120 smooth freestyle original beat stars xpro 5 TK12038612.wav,Excavationpro,Done,QZ-S65-22-88273,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\34\instrumental\Done\rap-120-smooth-freestyle-original-beat-stars-xpro-5_TK12038612.wav QZS652288273.wav,rap-120-smooth-freestyle-original-beat-stars-xpro-5_TK12038612.wav QZS652288273.wav
XForce Beat Loop One,Excavationpro,Done,QZ-S65-22-88675,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\PG 37\Vocals\Done\XForce Beat Loop One QZS652288675.wav,XForce Beat Loop One QZS652288675.wav
Everything You Wanted,Excavationpro,Done,QZ-S65-22-90103,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\33\Instrumentals\Done\Everything You Wanted QZS652290103.wav,Everything You Wanted QZS652290103.wav
Gassed Up,Excavationpro,Done,QZ-S65-22-99203,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\20\Done\Gassed Up QZS652299203.wav,Gassed Up QZS652299203.wav
Brothers,Excavationpro,Instrumentals,QZ-S65-23-06642,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\27\Instrumentals\Brothers QZS652306642.wav,Brothers QZS652306642.wav
Vibe Check Instrumental,Excavationpro,instrumentals,QZ-S65-23-08647,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\19\instrumentals\Vibe Check Instrumental QZS652308647.wav,Vibe Check Instrumental QZS652308647.wav
Cruise Everlasting (Mastered with Aurora at 100pct),Excavationpro,Done,QZ-S65-23-10018,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\26\Vocals\Done\Cruise Everlasting (Mastered with Aurora at 100pct) QZS652310018.wav,Cruise Everlasting (Mastered with Aurora at 100pct) QZS652310018.wav
Good For You,Excavationpro,Done,QZ-S65-23-10230,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\25\instrumental\Done\Good For You QZS652310230.wav,Good For You QZS652310230.wav
Midnight Feels,Excavationpro,instrumental,QZ-S65-23-11438,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\23\instrumental\Midnight Feels QZS652311438.wav,Midnight Feels QZS652311438.wav
Thrill Ride Mix Life is a Rollercoaster,Excavationpro,Done,QZ-S65-23-13764,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\22\Done\Thrill Ride Mix Life is a Rollercoaster QZS652313764.wav,Thrill Ride Mix Life is a Rollercoaster QZS652313764.wav
Never Again,Excavationpro,instrumentals,QZ-S65-23-19101,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\22\instrumentals\Never Again QZS652319101.wav,Never Again QZS652319101.wav
Bad Boy Shh Hit Beat tag,Excavationpro,Done,QZ-S65-23-19293,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\30\Instrumentals\Done\Bad Boy Shh Hit Beat tag QZS652319293.wav,Bad Boy Shh Hit Beat tag QZS652319293.wav
Imagine 311,Excavationpro,Done,QZ-S65-23-23879,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\26\instrumentals\Done\Imagine 311 QZS652323879.wav,Imagine 311 QZS652323879.wav
Night Crawler Instrumental,Excavationpro,instrumentals,QZ-S65-23-28396,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\22\instrumentals\Night Crawler Instrumental QZS652328396.wav,Night Crawler Instrumental QZS652328396.wav
E Motion,Excavationpro,Done,QZ-S65-23-38962,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\21\Instrumentals\Done\E Motion QZS652338962.wav,E Motion QZS652338962.wav
Dave x,Excavationpro,Done,QZ-S65-23-47417,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\21\Instrumentals\Done\Dave x QZS652347417.wav,Dave x QZS652347417.wav
Rampage Instrumental (1),Excavationpro,Done,QZ-S65-23-47813,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\21\instrumental\Done\Rampage Instrumental (1) QZS652347813.wav,Rampage Instrumental (1) QZS652347813.wav
When 18 Hertz,Excavationpro,Done,QZ-S65-23-60536,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\21\instrumental\Done\When 18 Hertz QZS652360536.wav,When 18 Hertz QZS652360536.wav
Synthetic Dreams,Excavationpro,24,QZ-S65-23-68317,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\24\Synthetic Dreams QZS652368317.wav,Synthetic Dreams QZS652368317.wav
Imported Denial,Excavationpro,instrumentals,QZ-S65-23-70229,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\19\instrumentals\Imported Denial QZS652370229.wav,Imported Denial QZS652370229.wav
Kicken it,Excavationpro,Done,QZ-S65-23-76697,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\26\instrumentals\Done\Kicken it QZS652376697.wav,Kicken it QZS652376697.wav
Wish,Excavationpro,Done,QZ-S65-23-79007,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\26\instrumentals\Done\Wish QZS652379007.wav,Wish QZS652379007.wav
Feral Emotion,Excavationpro,instrumental,QZ-S65-23-79614,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\23\instrumental\Feral Emotion QZS652379614.wav,Feral Emotion QZS652379614.wav
Ancient Spirits,Excavationpro,instrumentals,QZ-S65-23-84517,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\22\instrumentals\Ancient Spirits QZS652384517.wav,Ancient Spirits QZS652384517.wav
Wonder,Excavationpro,Done,QZ-S65-23-88698,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\26\instrumentals\Done\Wonder QZS652388698.wav,Wonder QZS652388698.wav
Never Ending Story Retold,Excavationpro,Done,QZ-S65-23-90767,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\26\instrumentals\Done\Never Ending Story Retold QZS652390767.wav,Never Ending Story Retold QZS652390767.wav
Happy,Excavationpro,New folder,QZ-S65-24-08701,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\11\New folder\Happy QZS652408701.mp3,Happy QZS652408701.mp3
Bussin,Excavationpro,Done,QZ-S65-24-13881,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\10\New folder\Done\Bussin QZS652413881.wav,Bussin QZS652413881.wav
Shook,Excavationpro,Done,QZ-S65-24-14060,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\6\Done\Shook QZS652414060.wav,Shook QZS652414060.wav
Rub The Lamp Instrumental,Excavationpro,New folder,QZ-S65-24-17574,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\14\New folder\Rub The Lamp Instrumental QZS652417574.wav,Rub The Lamp Instrumental QZS652417574.wav
Limited Time Offer,Excavationpro,New folder,QZ-S65-24-20177,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\13\New folder\Limited Time Offer QZS652420177.wav,Limited Time Offer QZS652420177.wav
Fatuous,Excavationpro,Done,QZ-S65-24-24708,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\7\Done\Fatuous QZS652424708.wav,Fatuous QZS652424708.wav
Focused,Excavationpro,New folder,QZ-S65-24-49925,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\11\New folder\Focused QZS652449925.wav,Focused QZS652449925.wav
Emotion Ocean Instrumental,Excavationpro,New folder,QZ-S65-24-53848,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\14\New folder\Emotion Ocean Instrumental QZS652453848.wav,Emotion Ocean Instrumental QZS652453848.wav
Crashing Waves,Excavationpro,Done,QZ-S65-24-57124,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\8\New folder\Done\Crashing Waves QZS652457124.wav,Crashing Waves QZS652457124.wav
Discovery,Excavationpro,New folder,QZ-S65-24-66172,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\13\New folder\Discovery QZS652466172.wav,Discovery QZS652466172.wav
Shock,Excavationpro,Done,QZ-S65-24-74538,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\6\Done\Shock  QZS652474538.wav,Shock  QZS652474538.wav
Good Head,Excavationpro,Done,QZ-S65-24-83234,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\8\Done\Good Head QZS652483234.wav,Good Head QZS652483234.wav
Fury Instrumental Beat,Excavationpro,Done 2,QZ-S65-24-85982,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\16\Instru\Done 2\Fury Instrumental Beat QZS652485982.wav,Fury Instrumental Beat QZS652485982.wav
Genius,Excavationpro,Done,QZ-S65-24-90064,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\12\New folder\Done\Genius QZS652490064.wav,Genius QZS652490064.wav
PRISM   Excavationpro,Excavationpro,New folder,QZ-S65-24-90965,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\15\New folder\PRISM - Excavationpro QZS652490965.wav,PRISM - Excavationpro QZS652490965.wav
Fire Storm,Excavationpro,Done,QZ-S65-24-94827,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\6\Done\Fire Storm QZS652494827.wav,Fire Storm QZS652494827.wav
Turmoil,Excavationpro,New folder,QZ-S65-24-97135,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\11\New folder\Turmoil QZS652497135.wav,Turmoil QZS652497135.wav
Excellent Adventure,Excavationpro,PG 40 Done,QZ-S66-21-04496,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\PG 40 Done\Excellent Adventure QZS662104496.wav,Excellent Adventure QZS662104496.wav
Heartless Reality,Excavationpro,Done,QZ-S66-21-10434,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\PG 39\Done\Heartless Reality QZS662110434.wav,Heartless Reality QZS662110434.wav
CloseyoureyesDone,Excavationpro,Done,QZ-S66-21-14659,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\PG 39\Done\CloseyoureyesDone QZS662114659.wav,CloseyoureyesDone QZS662114659.wav
Netherstorm,Excavationpro,Done,QZ-S66-21-25020,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\PG 38\Done\Netherstorm QZS662125020.wav,Netherstorm QZS662125020.wav
Ocean Love,Excavationpro,Done,QZ-S66-21-28046,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\PG 39\Done\Ocean Love QZS662128046.wav,Ocean Love QZS662128046.wav
Breaking the matrix,Excavationpro,Done,QZ-S66-21-32696,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\PG 39\Done\Breaking the matrix QZS662132696.wav,Breaking the matrix QZS662132696.wav
Prize Money,Excavationpro,PG 40 Done,QZ-S66-21-35256,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\PG 40 Done\Prize Money QZS662135256.wav,Prize Money QZS662135256.wav
Diamond Diggers,Excavationpro,Done,QZ-S66-21-52027,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\PG 38\Done\Diamond Diggers QZS662152027.wav,Diamond Diggers QZS662152027.wav
