title,artist,album,isrc,upc,spotify_url,local_path,filename
Low Rider,Excavationpro,Done,QZ-S63-24-47048,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\9\Done\Low Rider QZS632447048.wav,Low Rider QZS632447048.wav
Chaos Ninja Instrumental,Excavationpro,New folder,QZ-S63-24-47596,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\14\New folder\Chaos Ninja Instrumental QZS632447596.wav,Chaos Ninja Instrumental QZS632447596.wav
Warrior Instrumental,Excavationpro,New folder,QZ-S63-24-51169,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\14\New folder\Warrior Instrumental QZS632451169.wav,Warrior Instrumental QZS632451169.wav
Abnegation,Excavationpro,Done,QZ-S63-24-52808,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\7\Done\Abnegation QZS632452808.wav,Abnegation QZS632452808.wav
Dark Emotions,Excavationpro,Done,QZ-S63-24-59131,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\15\Done\Dark Emotions QZS632459131.wav,Dark Emotions QZS632459131.wav
Madness feat Justin Helmer,Excavationpro,11,QZ-S63-24-75028,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\11\Madness feat Justin Helmer QZS632475028.wav,Madness feat Justin Helmer QZS632475028.wav
Clapping Open Verse,Excavationpro,New folder,QZ-S63-24-76048,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\15\New folder\Clapping Open Verse QZS632476048.wav,Clapping Open Verse QZS632476048.wav
Passion,Excavationpro,New folder,QZ-S63-24-77022,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\11\New folder\Passion QZS632477022.mp3,Passion QZS632477022.mp3
Storm,Excavationpro,Done,QZ-S63-24-80787,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\12\New folder\Done\Storm QZS632480787.wav,Storm QZS632480787.wav
Quality of Life,Excavationpro,New folder,QZ-S63-24-82575,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\13\New folder\Quality of Life QZS632482575.wav,Quality of Life QZS632482575.wav
